"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","199","should connect and disconnect","Continuum Client Tests","Sun Jan 18 04:40:41 UTC 2026","passed","Sun Jan 18 04:40:41 UTC 2026","","","",""
"","80","testPutListOfSimpleObjects()","","Sun Jan 18 04:36:49 UTC 2026","passed","Sun Jan 18 04:36:49 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testPutListOfSimpleObjects"
"","1162","testException()","","Sun Jan 18 04:36:54 UTC 2026","passed","Sun Jan 18 04:36:55 UTC 2026","","org.mindignited.continuum.grind.internal.api.TestJobService","org.mindignited.continuum.grind.internal.api.TestJobService","testException"
"","41","send RPC call with disableStickySession","Disable Sticky Session Tests","Sun Jan 18 04:40:42 UTC 2026","passed","Sun Jan 18 04:40:42 UTC 2026","","","",""
"","27","testRawCRI1()","","Sun Jan 18 04:36:36 UTC 2026","passed","Sun Jan 18 04:36:36 UTC 2026","","org.mindignited.continuum.internal.core.api.CRITests","org.mindignited.continuum.internal.core.api.CRITests","testRawCRI1"
"","11","should fail invalid service request","Continuum RPC Tests","Sun Jan 18 04:40:43 UTC 2026","passed","Sun Jan 18 04:40:43 UTC 2026","","","",""
"","52","should handle scoped vs unscoped services independently","Publish Mechanism","Sun Jan 18 04:40:41 UTC 2026","passed","Sun Jan 18 04:40:41 UTC 2026","","Method parsing and conflict avoidance","",""
"","1110","testSerializeDeserializeObjectC3Type()","","Sun Jan 18 04:37:07 UTC 2026","passed","Sun Jan 18 04:37:09 UTC 2026","","org.mindignited.continuum.idl.internal.TestIdl","org.mindignited.continuum.idl.internal.TestIdl","testSerializeDeserializeObjectC3Type"
"","10","should process list of complex objects without scope","Publish Mechanism","Sun Jan 18 04:40:41 UTC 2026","passed","Sun Jan 18 04:40:41 UTC 2026","Complex object handling","Error propagation","",""
"","35","should invoke fetchData asynchronously","Publish Mechanism","Sun Jan 18 04:40:41 UTC 2026","passed","Sun Jan 18 04:40:41 UTC 2026","","Async methods without scope","",""
"","6","testFirstArgParticipant()","","Sun Jan 18 04:36:49 UTC 2026","passed","Sun Jan 18 04:36:49 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testFirstArgParticipant"
"","7","testSendCollection()","","Sun Jan 18 04:36:49 UTC 2026","passed","Sun Jan 18 04:36:49 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testSendCollection"
"","10","testMissingServiceFailure()","","Sun Jan 18 04:36:49 UTC 2026","passed","Sun Jan 18 04:36:49 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMissingServiceFailure"
"","1","testEventStreamWriteWithKey()","","Sun Jan 18 04:36:49 UTC 2026","passed","Sun Jan 18 04:36:49 UTC 2026","","org.mindignited.continuum.internal.core.api.event.EventStreamServiceTest","org.mindignited.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithKey"
"","10","testSimpleObject()","","Sun Jan 18 04:36:49 UTC 2026","passed","Sun Jan 18 04:36:49 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testSimpleObject"
"","4","testReceiveCollection()","","Sun Jan 18 04:36:49 UTC 2026","passed","Sun Jan 18 04:36:49 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testReceiveCollection"
"","12","testAutowired()","","Sun Jan 18 04:36:55 UTC 2026","passed","Sun Jan 18 04:36:55 UTC 2026","","org.mindignited.continuum.grind.internal.api.TestJobService","org.mindignited.continuum.grind.internal.api.TestJobService","testAutowired"
"","49","should invoke combine with scope synchronously","Publish Mechanism","Sun Jan 18 04:40:41 UTC 2026","passed","Sun Jan 18 04:40:41 UTC 2026","","Non-async methods with scope","",""
"","355","should connect and disconnect multiple times and still be able to call services","Continuum Client Tests","Sun Jan 18 04:40:41 UTC 2026","passed","Sun Jan 18 04:40:41 UTC 2026","","","",""
"","5","testReverseCopyLarge()","","Sun Jan 18 04:37:15 UTC 2026","passed","Sun Jan 18 04:37:15 UTC 2026","","org.mindignited.util.FileUtilTests","org.mindignited.util.FileUtilTests","testReverseCopyLarge"
"","1078","testRpcCompletableFutureString()","","Sun Jan 18 04:36:43 UTC 2026","passed","Sun Jan 18 04:36:44 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testRpcCompletableFutureString"
"","78","should invoke greet synchronously","Publish Mechanism","Sun Jan 18 04:40:41 UTC 2026","passed","Sun Jan 18 04:40:41 UTC 2026","","Non-async methods without scope","",""
"","103","testVertxFuture()","","Sun Jan 18 04:36:49 UTC 2026","passed","Sun Jan 18 04:36:49 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testVertxFuture"
"","5","testRawCRI2()","","Sun Jan 18 04:36:36 UTC 2026","passed","Sun Jan 18 04:36:36 UTC 2026","","org.mindignited.continuum.internal.core.api.CRITests","org.mindignited.continuum.internal.core.api.CRITests","testRawCRI2"
"","20","should fail when too many arguments are provided to greet","Publish Mechanism","Sun Jan 18 04:40:41 UTC 2026","passed","Sun Jan 18 04:40:41 UTC 2026","Argument count mismatch","Error propagation","",""
"","12","testABunchOfArguments()","","Sun Jan 18 04:36:49 UTC 2026","passed","Sun Jan 18 04:36:49 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testABunchOfArguments"
"","15","should process complex object with scope","Publish Mechanism","Sun Jan 18 04:40:41 UTC 2026","passed","Sun Jan 18 04:40:41 UTC 2026","Complex object handling","Error propagation","",""
