"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","testMiddleArgParticipant()","","Tue Jan 13 03:10:32 UTC 2026","passed","Tue Jan 13 03:10:32 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMiddleArgParticipant"
"","48","should invoke greet synchronously","Publish Mechanism","Tue Jan 13 03:14:46 UTC 2026","passed","Tue Jan 13 03:14:46 UTC 2026","","Non-async methods without scope","",""
"","7","testNestedArrays()","","Tue Jan 13 03:10:32 UTC 2026","passed","Tue Jan 13 03:10:32 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testNestedArrays"
"","24457","should connect to gateway and then fail after reconnection attempts after gateway is offline","Continuum Unavailable Tests","Tue Jan 13 03:15:02 UTC 2026","passed","Tue Jan 13 03:15:26 UTC 2026","","","",""
"","49","should propagate interceptor error","Context Injection","Tue Jan 13 03:14:46 UTC 2026","passed","Tue Jan 13 03:14:46 UTC 2026","","Context injection tests","",""
"","1188","testSerializeDeserializeObjectC3Type()","","Tue Jan 13 03:11:15 UTC 2026","passed","Tue Jan 13 03:11:16 UTC 2026","","org.mindignited.continuum.idl.internal.TestIdl","org.mindignited.continuum.idl.internal.TestIdl","testSerializeDeserializeObjectC3Type"
"","87","should inject context with default realm","Context Injection","Tue Jan 13 03:14:46 UTC 2026","passed","Tue Jan 13 03:14:46 UTC 2026","","Context injection tests","",""
"","1","testReverseCopySmall()","","Tue Jan 13 03:11:22 UTC 2026","passed","Tue Jan 13 03:11:22 UTC 2026","","org.mindignited.util.FileUtilTests","org.mindignited.util.FileUtilTests","testReverseCopySmall"
"","23","testMonoIntegerNull()","","Tue Jan 13 03:10:27 UTC 2026","passed","Tue Jan 13 03:10:27 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoIntegerNull"
"","6","testMonoEmptyString()","","Tue Jan 13 03:10:27 UTC 2026","passed","Tue Jan 13 03:10:27 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoEmptyString"
"","23","testABunchOfArguments()","","Tue Jan 13 03:10:32 UTC 2026","passed","Tue Jan 13 03:10:32 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testABunchOfArguments"
"","63","testReverseCopyMedium()","","Tue Jan 13 03:11:22 UTC 2026","passed","Tue Jan 13 03:11:22 UTC 2026","","org.mindignited.util.FileUtilTests","org.mindignited.util.FileUtilTests","testReverseCopyMedium"
"","28","should execute method with string parameter","Continuum RPC Tests","Tue Jan 13 03:14:49 UTC 2026","passed","Tue Jan 13 03:14:49 UTC 2026","","","",""
"","29","should handle async context injection","Context Injection","Tue Jan 13 03:14:46 UTC 2026","passed","Tue Jan 13 03:14:46 UTC 2026","","Context injection tests","",""
"","3","testSendTwoArgsReturnOne()","","Tue Jan 13 03:10:32 UTC 2026","passed","Tue Jan 13 03:10:32 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testSendTwoArgsReturnOne"
"","54","should invoke combine with multiple args synchronously","Publish Mechanism","Tue Jan 13 03:14:46 UTC 2026","passed","Tue Jan 13 03:14:46 UTC 2026","","Non-async methods without scope","",""
"","45","should inject context with tenant1 realm","Context Injection","Tue Jan 13 03:14:46 UTC 2026","passed","Tue Jan 13 03:14:46 UTC 2026","","Context injection tests","",""
