"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","should propagate asynchronous error","Publish Mechanism","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","Async errors without scope","Error propagation","",""
"","1","should handle gateway restart with disableStickySession and reconnect","Disable Sticky Session Gateway Restart Reconnection Tests","Tue Jan 06 07:06:07 UTC 2026","skipped","Tue Jan 06 07:06:07 UTC 2026","","","",""
"","966","testRpcCompletableFutureString()","","Tue Jan 06 07:01:41 UTC 2026","passed","Tue Jan 06 07:01:42 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testRpcCompletableFutureString"
"","3","testLastArgParticipant()","","Tue Jan 06 07:01:47 UTC 2026","passed","Tue Jan 06 07:01:47 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testLastArgParticipant"
"","22","should propagate synchronous error with scope","Publish Mechanism","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","Non-async errors with scope","Error propagation","",""
"","6","testMonoStringLiterallyNull()","","Tue Jan 06 07:01:46 UTC 2026","passed","Tue Jan 06 07:01:46 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringLiterallyNull"
"","51","should distinguish between methods with different names (with scope)","Publish Mechanism","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","","Method parsing and conflict avoidance","",""
"","10","should return missing service error","Continuum RPC Tests","Tue Jan 06 07:05:54 UTC 2026","passed","Tue Jan 06 07:05:54 UTC 2026","","","",""
"","22","should process list of complex objects with scope","Publish Mechanism","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","Complex object handling","Error propagation","",""
"","22","should process complex object with scope","Publish Mechanism","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","Complex object handling","Error propagation","",""
"","12","testSimpleObject()","","Tue Jan 06 07:01:47 UTC 2026","passed","Tue Jan 06 07:01:47 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSimpleObject"
"","7","testMonoEmptyString()","","Tue Jan 06 07:01:42 UTC 2026","passed","Tue Jan 06 07:01:42 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoEmptyString"
"","4","testMonoStringNull()","","Tue Jan 06 07:01:47 UTC 2026","passed","Tue Jan 06 07:01:47 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringNull"
"","41","should invoke fetchData with scope asynchronously","Publish Mechanism","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","","Async methods with scope","",""
"","13","testAutowired()","","Tue Jan 06 07:02:22 UTC 2026","passed","Tue Jan 06 07:02:22 UTC 2026","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testAutowired"
"","88","should connect with disableStickySession and hard disconnect and reconnect","Disable Sticky Session Tests","Tue Jan 06 07:05:53 UTC 2026","passed","Tue Jan 06 07:05:53 UTC 2026","","","",""
"","42","should allow continuum CLI to connect but not send any data","Continuum Client Tests","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","","","",""
"","0","testEventStreamWriteWithKey()","","Tue Jan 06 07:01:47 UTC 2026","passed","Tue Jan 06 07:01:47 UTC 2026","","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithKey"
"","14","testAutowireCollection()","","Tue Jan 06 07:02:22 UTC 2026","passed","Tue Jan 06 07:02:22 UTC 2026","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testAutowireCollection"
"","5","testNestedArrays()","","Tue Jan 06 07:01:47 UTC 2026","passed","Tue Jan 06 07:01:47 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testNestedArrays"
"","31","should invoke multiArgs with scope asynchronously","Publish Mechanism","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","","Async methods with scope","",""
"","49","should handle scoped vs unscoped services independently","Publish Mechanism","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","","Method parsing and conflict avoidance","",""
"","12","should execute method with string parameter","Continuum RPC Tests","Tue Jan 06 07:05:54 UTC 2026","passed","Tue Jan 06 07:05:54 UTC 2026","","","",""
"","81","testPutListOfSimpleObjects()","","Tue Jan 06 07:01:46 UTC 2026","passed","Tue Jan 06 07:01:46 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutListOfSimpleObjects"
"","7","testFirstArgParticipant()","","Tue Jan 06 07:01:47 UTC 2026","passed","Tue Jan 06 07:01:47 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testFirstArgParticipant"
"","3","testSendTwoArgsReturnOne()","","Tue Jan 06 07:01:47 UTC 2026","passed","Tue Jan 06 07:01:47 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendTwoArgsReturnOne"
"","29","should handle async context injection","Context Injection","Tue Jan 06 07:05:51 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","","Context injection tests","",""
"","2","testReverseCopySmall()","","Tue Jan 06 07:02:38 UTC 2026","passed","Tue Jan 06 07:02:38 UTC 2026","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopySmall"
"","4022","testInfiniteFlux()","","Tue Jan 06 07:01:42 UTC 2026","passed","Tue Jan 06 07:01:46 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testInfiniteFlux"
"","67","should allow connection with session id","Continuum Client Tests","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","","","",""
"","14040","should fail fast on connection attempt","Continuum Unavailable Tests","Tue Jan 06 07:05:53 UTC 2026","passed","Tue Jan 06 07:06:07 UTC 2026","","","",""
"","32","should invoke combine with multiple args synchronously","Publish Mechanism","Tue Jan 06 07:05:51 UTC 2026","passed","Tue Jan 06 07:05:51 UTC 2026","","Non-async methods without scope","",""
"","234","should connect and disconnect multiple times and still be able to call services","Continuum Client Tests","Tue Jan 06 07:05:51 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","","","",""
"","5","testReverseCopyLarge()","","Tue Jan 06 07:02:38 UTC 2026","passed","Tue Jan 06 07:02:38 UTC 2026","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopyLarge"
"","21","should return missing method error","Continuum RPC Tests","Tue Jan 06 07:05:54 UTC 2026","passed","Tue Jan 06 07:05:54 UTC 2026","","","",""
"","6","testSendTokenBuffer()","","Tue Jan 06 07:01:47 UTC 2026","passed","Tue Jan 06 07:01:47 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendTokenBuffer"
"","0","testEventStreamWriteWithoutKey()","","Tue Jan 06 07:01:47 UTC 2026","passed","Tue Jan 06 07:01:47 UTC 2026","","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithoutKey"
"","2946","testSimple()","","Tue Jan 06 07:02:22 UTC 2026","passed","Tue Jan 06 07:02:25 UTC 2026","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testSimple"
"","28","testRawCRI1()","","Tue Jan 06 07:01:34 UTC 2026","passed","Tue Jan 06 07:01:34 UTC 2026","","org.kinotic.continuum.internal.core.api.CRITests","org.kinotic.continuum.internal.core.api.CRITests","testRawCRI1"
"","28","should fail invalid service request","Continuum RPC Tests","Tue Jan 06 07:05:54 UTC 2026","passed","Tue Jan 06 07:05:54 UTC 2026","","","",""
"","32","should invoke combine with scope synchronously","Publish Mechanism","Tue Jan 06 07:05:52 UTC 2026","passed","Tue Jan 06 07:05:52 UTC 2026","","Non-async methods with scope","",""
