"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25989","should connect to gateway and then fail after reconnection attempts after gateway is offline","Continuum Unavailable Tests","Tue Nov 11 19:45:41 UTC 2025","passed","Tue Nov 11 19:46:07 UTC 2025","","","",""
"","5","testReceiveCollection()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testReceiveCollection"
"","12","testPutMapOfSimpleObjects()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutMapOfSimpleObjects"
"","59","should inject context with tenant1 realm","Context Injection","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","Context injection tests","",""
"","5","testMonoWithValue()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoWithValue"
"","1","testEventStreamWriteWithoutKey()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithoutKey"
"","124","testVertxFutureNullString()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testVertxFutureNullString"
"","10","testLimitedFlux()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testLimitedFlux"
"","17","should propagate synchronous error","Publish Mechanism","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","Non-async errors without scope","Error propagation","",""
"","28","should invoke multiArgs with scope asynchronously","Publish Mechanism","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","Async methods with scope","",""
"","8","testSendAndReceiveCollection()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendAndReceiveCollection"
"","42","should handle async context injection","Context Injection","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","Context injection tests","",""
"","14","testSimpleObject()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSimpleObject"
"","10","testMonoStringNull()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringNull"
"","9","testMonoEmptyString()","","Tue Nov 11 19:40:38 UTC 2025","passed","Tue Nov 11 19:40:38 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoEmptyString"
"","114","should invoke greet synchronously","Publish Mechanism","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","Non-async methods without scope","",""
"","56","should invoke fetchData asynchronously","Publish Mechanism","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","Async methods without scope","",""
"","30","send RPC call with disableStickySession","Disable Sticky Session Tests","Tue Nov 11 19:45:26 UTC 2025","passed","Tue Nov 11 19:45:26 UTC 2025","","","",""
"","6","testMonoStringLiterallyNull()","","Tue Nov 11 19:40:42 UTC 2025","passed","Tue Nov 11 19:40:42 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringLiterallyNull"
"","2","testRawCRI2()","","Tue Nov 11 19:40:30 UTC 2025","passed","Tue Nov 11 19:40:30 UTC 2025","","org.kinotic.continuum.internal.core.api.CRITests","org.kinotic.continuum.internal.core.api.CRITests","testRawCRI2"
"","78","should return missing method error","Continuum RPC Tests","Tue Nov 11 19:45:28 UTC 2025","passed","Tue Nov 11 19:45:28 UTC 2025","","","",""
"","72","testPutListOfSimpleObjects()","","Tue Nov 11 19:40:42 UTC 2025","passed","Tue Nov 11 19:40:42 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutListOfSimpleObjects"
"","114","should inject context with default realm","Context Injection","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","Context injection tests","",""
"","14039","should fail fast on connection attempt","Continuum Unavailable Tests","Tue Nov 11 19:45:27 UTC 2025","passed","Tue Nov 11 19:45:41 UTC 2025","","","",""
"","25","testRawCRI1()","","Tue Nov 11 19:40:30 UTC 2025","passed","Tue Nov 11 19:40:30 UTC 2025","","org.kinotic.continuum.internal.core.api.CRITests","org.kinotic.continuum.internal.core.api.CRITests","testRawCRI1"
"","18","testABunchOfArguments()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testABunchOfArguments"
"","35","should propagate synchronous error with scope","Publish Mechanism","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","Non-async errors with scope","Error propagation","",""
"","1","testReverseCopyLarge()","","Tue Nov 11 19:41:17 UTC 2025","passed","Tue Nov 11 19:41:17 UTC 2025","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopyLarge"
"","64","should allow continuum CLI to connect but not send any data","Continuum Client Tests","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","","",""
"","39","should invoke greet with scope synchronously","Publish Mechanism","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","Non-async methods with scope","",""
"","22","testSchemaFactory()","","Tue Nov 11 19:41:39 UTC 2025","passed","Tue Nov 11 19:41:39 UTC 2025","","org.kinotic.continuum.idl.internal.TestSchemaFactory","org.kinotic.continuum.idl.internal.TestSchemaFactory","testSchemaFactory"
"","52","should invoke combine with multiple args synchronously","Publish Mechanism","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","Non-async methods without scope","",""
"","0","testEventStreamWriteWithKey()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithKey"
"","73","should allow connection with session id","Continuum Client Tests","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","","",""
"","36","should propagate asynchronous error with scope","Publish Mechanism","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:26 UTC 2025","Async errors with scope","Error propagation","",""
"","14","should process complex object without scope","Publish Mechanism","Tue Nov 11 19:45:26 UTC 2025","passed","Tue Nov 11 19:45:26 UTC 2025","Complex object handling","Error propagation","",""
"","72","should propagate interceptor error","Context Injection","Tue Nov 11 19:45:25 UTC 2025","passed","Tue Nov 11 19:45:25 UTC 2025","","Context injection tests","",""
"","104","testVertxFuture()","","Tue Nov 11 19:40:43 UTC 2025","passed","Tue Nov 11 19:40:43 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testVertxFuture"
"","13","should process list of complex objects without scope","Publish Mechanism","Tue Nov 11 19:45:26 UTC 2025","passed","Tue Nov 11 19:45:26 UTC 2025","Complex object handling","Error propagation","",""
"","73","should connect with disableStickySession and hard disconnect and reconnect","Disable Sticky Session Tests","Tue Nov 11 19:45:26 UTC 2025","passed","Tue Nov 11 19:45:26 UTC 2025","","","",""
