"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1139","testException()","","Thu Jan 08 06:19:10 UTC 2026","passed","Thu Jan 08 06:19:11 UTC 2026","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testException"
"","77","should connect with disableStickySession and hard disconnect and reconnect","Disable Sticky Session Tests","Thu Jan 08 06:22:57 UTC 2026","passed","Thu Jan 08 06:22:57 UTC 2026","","","",""
"","26","should propagate synchronous error","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","Non-async errors without scope","Error propagation","",""
"","6","testSendAndReceiveCollection()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendAndReceiveCollection"
"","11","testPutMapOfSimpleObjects()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutMapOfSimpleObjects"
"","242","should connect and disconnect multiple times and still be able to call services","Continuum Client Tests","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","","",""
"","52","should handle scoped vs unscoped services independently","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Method parsing and conflict avoidance","",""
"","34","should inject context with tenant1 realm","Context Injection","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Context injection tests","",""
"","11","should fail invalid service request","Continuum RPC Tests","Thu Jan 08 06:22:58 UTC 2026","passed","Thu Jan 08 06:22:58 UTC 2026","","","",""
"","24","should propagate asynchronous error","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","Async errors without scope","Error propagation","",""
"","55","should invoke multiArgs with scope asynchronously","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Async methods with scope","",""
"","25","testMonoIntegerNull()","","Thu Jan 08 06:18:52 UTC 2026","passed","Thu Jan 08 06:18:52 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoIntegerNull"
"","43","should handle async context injection","Context Injection","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Context injection tests","",""
"","1","testEventStreamWriteWithKey()","","Thu Jan 08 06:18:57 UTC 2026","passed","Thu Jan 08 06:18:57 UTC 2026","","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithKey"
"","4","testMonoWithValue()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoWithValue"
"","16","should process complex object with scope","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","Complex object handling","Error propagation","",""
"","9","testMultipleRequests()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMultipleRequests"
"","27","testRawCRI1()","","Thu Jan 08 06:18:44 UTC 2026","passed","Thu Jan 08 06:18:44 UTC 2026","","org.kinotic.continuum.internal.core.api.CRITests","org.kinotic.continuum.internal.core.api.CRITests","testRawCRI1"
"","94","testPutListOfSimpleObjects()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutListOfSimpleObjects"
"","58","should distinguish between methods with different names (no scope)","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Method parsing and conflict avoidance","",""
"","5","testMonoStringNull()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringNull"
"","25348","should connect to gateway and then fail after reconnection attempts after gateway is offline","Continuum Unavailable Tests","Thu Jan 08 06:23:11 UTC 2026","passed","Thu Jan 08 06:23:37 UTC 2026","","","",""
"","18","should return missing service error","Continuum RPC Tests","Thu Jan 08 06:22:58 UTC 2026","passed","Thu Jan 08 06:22:58 UTC 2026","","","",""
"","102","should inject context with default realm","Context Injection","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Context injection tests","",""
"","10","testMissingServiceFailure()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMissingServiceFailure"
"","1","testEventStreamWriteWithoutKey()","","Thu Jan 08 06:18:57 UTC 2026","passed","Thu Jan 08 06:18:57 UTC 2026","","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithoutKey"
"","20","testMiddleArgParticipant()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMiddleArgParticipant"
"","27","should return missing method error","Continuum RPC Tests","Thu Jan 08 06:22:58 UTC 2026","passed","Thu Jan 08 06:22:58 UTC 2026","","","",""
"","77","should invoke greet synchronously","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Non-async methods without scope","",""
"","6","testReverseCopyLarge()","","Thu Jan 08 06:19:26 UTC 2026","passed","Thu Jan 08 06:19:26 UTC 2026","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopyLarge"
"","25","should invoke greet with scope synchronously","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Non-async methods with scope","",""
"","8","testSendTokenBuffer()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendTokenBuffer"
"","4","testMonoWithVoidFromEmpty()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoWithVoidFromEmpty"
"","32","testMissingRemoteMethodFailure()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMissingRemoteMethodFailure"
"","6","testMonoStringLiterallyNull()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringLiterallyNull"
"","69","should allow connection with session id","Continuum Client Tests","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","","",""
"","55","should propagate interceptor error","Context Injection","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Context injection tests","",""
"","103","testVertxFuture()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testVertxFuture"
"","14094","should fail fast on connection attempt","Continuum Unavailable Tests","Thu Jan 08 06:22:57 UTC 2026","passed","Thu Jan 08 06:23:11 UTC 2026","","","",""
"","4027","testInfiniteFlux()","","Thu Jan 08 06:18:52 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testInfiniteFlux"
"","44","should allow continuum CLI to connect but not send any data","Continuum Client Tests","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","","",""
"","4","testReceiveCollection()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:57 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testReceiveCollection"
"","34","should invoke multiArgs with multiple args asynchronously","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Async methods without scope","",""
"","21","testSchemaFactory()","","Thu Jan 08 06:19:20 UTC 2026","passed","Thu Jan 08 06:19:20 UTC 2026","","org.kinotic.continuum.idl.internal.TestSchemaFactory","org.kinotic.continuum.idl.internal.TestSchemaFactory","testSchemaFactory"
"","24","should fail when too few arguments are provided to combine","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","Argument count mismatch","Error propagation","",""
"","54","send RPC call with disableStickySession","Disable Sticky Session Tests","Thu Jan 08 06:22:57 UTC 2026","passed","Thu Jan 08 06:22:57 UTC 2026","","","",""
"","50","should invoke fetchData with scope asynchronously","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Async methods with scope","",""
"","10355","testSingleProducerMultiConsumer()","","Thu Jan 08 06:19:26 UTC 2026","passed","Thu Jan 08 06:19:36 UTC 2026","","org.kinotic.util.TestFluxFactory","org.kinotic.util.TestFluxFactory","testSingleProducerMultiConsumer"
"","4","testLastArgParticipant()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testLastArgParticipant"
"","126","testVertxFutureNullString()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testVertxFutureNullString"
"","41","should distinguish between methods with different names (with scope)","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Method parsing and conflict avoidance","",""
"","24","testMonoWithVoidFromNull()","","Thu Jan 08 06:18:52 UTC 2026","passed","Thu Jan 08 06:18:52 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoWithVoidFromNull"
"","11","testAutowireCollection()","","Thu Jan 08 06:19:11 UTC 2026","passed","Thu Jan 08 06:19:11 UTC 2026","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testAutowireCollection"
"","10","testSendCollection()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendCollection"
"","45","should invoke fetchData asynchronously","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Async methods without scope","",""
"","7","testFirstArgParticipant()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testFirstArgParticipant"
"","17","testPutNestedGenerics()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutNestedGenerics"
"","7","testNestedArrays()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testNestedArrays"
"","18","should process list of complex objects without scope","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","Complex object handling","Error propagation","",""
"","3129","testSimple()","","Thu Jan 08 06:19:11 UTC 2026","passed","Thu Jan 08 06:19:14 UTC 2026","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testSimple"
"","27407","should handle gateway restart with disableStickySession and reconnect","Disable Sticky Session Gateway Restart Reconnection Tests","Thu Jan 08 06:23:03 UTC 2026","passed","Thu Jan 08 06:23:31 UTC 2026","","","",""
"","12","testSimpleObject()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSimpleObject"
"","1","testReverseCopySmall()","","Thu Jan 08 06:19:26 UTC 2026","passed","Thu Jan 08 06:19:26 UTC 2026","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopySmall"
"","53","testCreateFindRemove()","","Thu Jan 08 06:18:57 UTC 2026","passed","Thu Jan 08 06:18:57 UTC 2026","","org.kinotic.continuum.internal.core.api.TestSessionManager","org.kinotic.continuum.internal.core.api.TestSessionManager","testCreateFindRemove"
"","5","testRawCRI2()","","Thu Jan 08 06:18:44 UTC 2026","passed","Thu Jan 08 06:18:44 UTC 2026","","org.kinotic.continuum.internal.core.api.CRITests","org.kinotic.continuum.internal.core.api.CRITests","testRawCRI2"
"","25","should invoke combine with scope synchronously","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Non-async methods with scope","",""
"","17","should execute method with string parameter","Continuum RPC Tests","Thu Jan 08 06:22:58 UTC 2026","passed","Thu Jan 08 06:22:58 UTC 2026","","","",""
"","1158","testSerializeDeserializeObjectC3Type()","","Thu Jan 08 06:19:19 UTC 2026","passed","Thu Jan 08 06:19:20 UTC 2026","","org.kinotic.continuum.idl.internal.TestIdl","org.kinotic.continuum.idl.internal.TestIdl","testSerializeDeserializeObjectC3Type"
"","24","should propagate asynchronous error with scope","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","Async errors with scope","Error propagation","",""
"","58","testReverseCopyMedium()","","Thu Jan 08 06:19:26 UTC 2026","passed","Thu Jan 08 06:19:26 UTC 2026","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopyMedium"
"","14","should process complex object without scope","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","Complex object handling","Error propagation","",""
"","32","should process list of complex objects with scope","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","Complex object handling","Error propagation","",""
"","7","testLimitedFlux()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testLimitedFlux"
"","15","testABunchOfArguments()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testABunchOfArguments"
"","37","should fail when too many arguments are provided to greet","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","Argument count mismatch","Error propagation","",""
"","17","testUnknownFailure()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testUnknownFailure"
"","30","should propagate synchronous error with scope","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","Non-async errors with scope","Error propagation","",""
"","173","should connect and disconnect","Continuum Client Tests","Thu Jan 08 06:22:55 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","","",""
"","5","testMonoEmptyString()","","Thu Jan 08 06:18:52 UTC 2026","passed","Thu Jan 08 06:18:52 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoEmptyString"
"","14","testAutowired()","","Thu Jan 08 06:19:11 UTC 2026","passed","Thu Jan 08 06:19:11 UTC 2026","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testAutowired"
"","1116","testRpcCompletableFutureString()","","Thu Jan 08 06:18:51 UTC 2026","passed","Thu Jan 08 06:18:52 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testRpcCompletableFutureString"
"","3","testSendTwoArgsReturnOne()","","Thu Jan 08 06:18:56 UTC 2026","passed","Thu Jan 08 06:18:56 UTC 2026","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendTwoArgsReturnOne"
"","26","should invoke combine with multiple args synchronously","Publish Mechanism","Thu Jan 08 06:22:56 UTC 2026","passed","Thu Jan 08 06:22:56 UTC 2026","","Non-async methods without scope","",""
