"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","testCreateFindRemove()","","Sun Nov 16 15:55:22 UTC 2025","passed","Sun Nov 16 15:55:22 UTC 2025","","org.kinotic.continuum.internal.core.api.TestSessionManager","org.kinotic.continuum.internal.core.api.TestSessionManager","testCreateFindRemove"
"","17","testPutMapOfSimpleObjects()","","Sun Nov 16 15:55:22 UTC 2025","passed","Sun Nov 16 15:55:22 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutMapOfSimpleObjects"
"","23","testMonoWithVoidFromNull()","","Sun Nov 16 15:55:17 UTC 2025","passed","Sun Nov 16 15:55:17 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoWithVoidFromNull"
"","25","should propagate synchronous error","Publish Mechanism","Sun Nov 16 16:00:05 UTC 2025","passed","Sun Nov 16 16:00:05 UTC 2025","Non-async errors without scope","Error propagation","",""
"","36","send RPC call with disableStickySession","Disable Sticky Session Tests","Sun Nov 16 16:00:06 UTC 2025","passed","Sun Nov 16 16:00:06 UTC 2025","","","",""
"","7","testReceiveCollection()","","Sun Nov 16 15:55:22 UTC 2025","passed","Sun Nov 16 15:55:22 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testReceiveCollection"
"","3","testMonoStringNull()","","Sun Nov 16 15:55:22 UTC 2025","passed","Sun Nov 16 15:55:22 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringNull"
"","10","testMonoStringLiterallyNull()","","Sun Nov 16 15:55:21 UTC 2025","passed","Sun Nov 16 15:55:21 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringLiterallyNull"
"","10352","testSingleProducerMultiConsumer()","","Sun Nov 16 15:56:01 UTC 2025","passed","Sun Nov 16 15:56:11 UTC 2025","","org.kinotic.util.TestFluxFactory","org.kinotic.util.TestFluxFactory","testSingleProducerMultiConsumer"
"","60","should fail when too many arguments are provided to greet","Publish Mechanism","Sun Nov 16 16:00:05 UTC 2025","passed","Sun Nov 16 16:00:05 UTC 2025","Argument count mismatch","Error propagation","",""
"","41","should invoke multiArgs with scope asynchronously","Publish Mechanism","Sun Nov 16 16:00:05 UTC 2025","passed","Sun Nov 16 16:00:05 UTC 2025","","Async methods with scope","",""
"","104","testVertxFuture()","","Sun Nov 16 15:55:22 UTC 2025","passed","Sun Nov 16 15:55:22 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testVertxFuture"
"","26","should propagate asynchronous error","Publish Mechanism","Sun Nov 16 16:00:05 UTC 2025","passed","Sun Nov 16 16:00:05 UTC 2025","Async errors without scope","Error propagation","",""
"","6","testFirstArgParticipant()","","Sun Nov 16 15:55:22 UTC 2025","passed","Sun Nov 16 15:55:22 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testFirstArgParticipant"
"","21","testABunchOfArguments()","","Sun Nov 16 15:55:22 UTC 2025","passed","Sun Nov 16 15:55:22 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testABunchOfArguments"
"","32","should process complex object without scope","Publish Mechanism","Sun Nov 16 16:00:05 UTC 2025","passed","Sun Nov 16 16:00:05 UTC 2025","Complex object handling","Error propagation","",""
"","25","should execute method with string parameter","Continuum RPC Tests","Sun Nov 16 16:00:08 UTC 2025","passed","Sun Nov 16 16:00:08 UTC 2025","","","",""
"","43","should invoke combine with multiple args synchronously","Publish Mechanism","Sun Nov 16 16:00:05 UTC 2025","passed","Sun Nov 16 16:00:05 UTC 2025","","Non-async methods without scope","",""
"","23075","should handle gateway restart with disableStickySession and reconnect","Disable Sticky Session Gateway Restart Reconnection Tests","Sun Nov 16 16:00:13 UTC 2025","passed","Sun Nov 16 16:00:36 UTC 2025","","","",""
"","14112","should fail fast on connection attempt","Continuum Unavailable Tests","Sun Nov 16 16:00:06 UTC 2025","passed","Sun Nov 16 16:00:20 UTC 2025","","","",""
"","26652","should connect to gateway and then fail after reconnection attempts after gateway is offline","Continuum Unavailable Tests","Sun Nov 16 16:00:20 UTC 2025","passed","Sun Nov 16 16:00:47 UTC 2025","","","",""
"","11","testUnknownFailure()","","Sun Nov 16 15:55:22 UTC 2025","passed","Sun Nov 16 15:55:22 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testUnknownFailure"
