"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","testFirstArgParticipant()","","Thu Jan 08 06:23:25 UTC 2026","passed","Thu Jan 08 06:23:25 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testFirstArgParticipant"
"","14","should process complex object with scope","Publish Mechanism","Thu Jan 08 06:24:10 UTC 2026","passed","Thu Jan 08 06:24:10 UTC 2026","Complex object handling","Error propagation","",""
"","11","should fail invalid service request","Continuum RPC Tests","Thu Jan 08 06:24:11 UTC 2026","passed","Thu Jan 08 06:24:11 UTC 2026","","","",""
"","9","testPutMapOfSimpleObjects()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testPutMapOfSimpleObjects"
"","20","should process complex object without scope","Publish Mechanism","Thu Jan 08 06:24:10 UTC 2026","passed","Thu Jan 08 06:24:10 UTC 2026","Complex object handling","Error propagation","",""
"","32","should invoke fetchData with scope asynchronously","Publish Mechanism","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","Async methods with scope","",""
"","14","testSendCollection()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testSendCollection"
"","7","testMonoStringLiterallyNull()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoStringLiterallyNull"
"","26","testRawCRI1()","","Thu Jan 08 06:23:12 UTC 2026","passed","Thu Jan 08 06:23:12 UTC 2026","","org.mindignited.continuum.internal.core.api.CRITests","org.mindignited.continuum.internal.core.api.CRITests","testRawCRI1"
"","5","testRawCRI2()","","Thu Jan 08 06:23:12 UTC 2026","passed","Thu Jan 08 06:23:12 UTC 2026","","org.mindignited.continuum.internal.core.api.CRITests","org.mindignited.continuum.internal.core.api.CRITests","testRawCRI2"
"","27","testUnknownFailure()","","Thu Jan 08 06:23:24 UTC 2026","failed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testUnknownFailure"
"","8","testLimitedFlux()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testLimitedFlux"
"","120","testPutListOfSimpleObjects()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testPutListOfSimpleObjects"
"","11","testSimpleObject()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testSimpleObject"
"","7","testMultipleRequests()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMultipleRequests"
"","90","should invoke greet synchronously","Publish Mechanism","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","Non-async methods without scope","",""
"","4","testReceiveCollection()","","Thu Jan 08 06:23:25 UTC 2026","passed","Thu Jan 08 06:23:25 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testReceiveCollection"
"","53","testCreateFindRemove()","","Thu Jan 08 06:23:25 UTC 2026","passed","Thu Jan 08 06:23:25 UTC 2026","","org.mindignited.continuum.internal.core.api.TestSessionManager","org.mindignited.continuum.internal.core.api.TestSessionManager","testCreateFindRemove"
"","124","should inject context with default realm","Context Injection","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","Context injection tests","",""
"","33","should invoke combine with scope synchronously","Publish Mechanism","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","Non-async methods with scope","",""
"","79","should connect with disableStickySession and hard disconnect and reconnect","Disable Sticky Session Tests","Thu Jan 08 06:24:11 UTC 2026","passed","Thu Jan 08 06:24:11 UTC 2026","","","",""
"","103","testVertxFuture()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testVertxFuture"
"","7","testNestedArrays()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testNestedArrays"
"","4","testLastArgParticipant()","","Thu Jan 08 06:23:25 UTC 2026","passed","Thu Jan 08 06:23:25 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testLastArgParticipant"
"","47","should propagate interceptor error","Context Injection","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","Context injection tests","",""
"","171","should connect and disconnect","Continuum Client Tests","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","","",""
"","23","testMonoWithVoidFromNull()","","Thu Jan 08 06:23:20 UTC 2026","passed","Thu Jan 08 06:23:20 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoWithVoidFromNull"
"","5","testSendAndReceiveCollection()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testSendAndReceiveCollection"
"","23","should return missing method error","Continuum RPC Tests","Thu Jan 08 06:24:12 UTC 2026","passed","Thu Jan 08 06:24:12 UTC 2026","","","",""
"","72","should distinguish between methods with different names (no scope)","Publish Mechanism","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:10 UTC 2026","","Method parsing and conflict avoidance","",""
"","36","should fail when too many arguments are provided to greet","Publish Mechanism","Thu Jan 08 06:24:10 UTC 2026","passed","Thu Jan 08 06:24:10 UTC 2026","Argument count mismatch","Error propagation","",""
"","48","should invoke multiArgs with scope asynchronously","Publish Mechanism","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","Async methods with scope","",""
"","4","testMonoWithValue()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoWithValue"
"","28","should propagate synchronous error","Publish Mechanism","Thu Jan 08 06:24:10 UTC 2026","passed","Thu Jan 08 06:24:10 UTC 2026","Non-async errors without scope","Error propagation","",""
"","38","should invoke greet with scope synchronously","Publish Mechanism","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","Non-async methods with scope","",""
"","27","testMiddleArgParticipant()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMiddleArgParticipant"
"","23","testMonoIntegerNull()","","Thu Jan 08 06:23:20 UTC 2026","passed","Thu Jan 08 06:23:20 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoIntegerNull"
"","18","should propagate asynchronous error","Publish Mechanism","Thu Jan 08 06:24:10 UTC 2026","passed","Thu Jan 08 06:24:10 UTC 2026","Async errors without scope","Error propagation","",""
"","14","testABunchOfArguments()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testABunchOfArguments"
"","48","should allow continuum CLI to connect but not send any data","Continuum Client Tests","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","","",""
"","53","should handle scoped vs unscoped services independently","Publish Mechanism","Thu Jan 08 06:24:10 UTC 2026","passed","Thu Jan 08 06:24:10 UTC 2026","","Method parsing and conflict avoidance","",""
"","13","should return missing service error","Continuum RPC Tests","Thu Jan 08 06:24:12 UTC 2026","passed","Thu Jan 08 06:24:12 UTC 2026","","","",""
"","55","testMissingRemoteMethodFailure()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMissingRemoteMethodFailure"
"","4","testMonoWithVoidFromEmpty()","","Thu Jan 08 06:23:24 UTC 2026","passed","Thu Jan 08 06:23:24 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoWithVoidFromEmpty"
"","35","should handle async context injection","Context Injection","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","Context injection tests","",""
"","46","should invoke combine with multiple args synchronously","Publish Mechanism","Thu Jan 08 06:24:09 UTC 2026","passed","Thu Jan 08 06:24:09 UTC 2026","","Non-async methods without scope","",""
"","38","should distinguish between methods with different names (with scope)","Publish Mechanism","Thu Jan 08 06:24:10 UTC 2026","passed","Thu Jan 08 06:24:10 UTC 2026","","Method parsing and conflict avoidance","",""
"","33","should propagate asynchronous error with scope","Publish Mechanism","Thu Jan 08 06:24:10 UTC 2026","passed","Thu Jan 08 06:24:10 UTC 2026","Async errors with scope","Error propagation","",""
"","1","testEventStreamWriteWithoutKey()","","Thu Jan 08 06:23:25 UTC 2026","passed","Thu Jan 08 06:23:25 UTC 2026","","org.mindignited.continuum.internal.core.api.event.EventStreamServiceTest","org.mindignited.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithoutKey"
