"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","testReceiveCollection()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testReceiveCollection"
"","5","testMonoWithVoidFromEmpty()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoWithVoidFromEmpty"
"","74","testPutListOfSimpleObjects()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutListOfSimpleObjects"
"","5","testNestedArrays()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testNestedArrays"
"","52","should invoke multiArgs with multiple args asynchronously","Publish Mechanism","Tue Nov 11 20:41:02 UTC 2025","passed","Tue Nov 11 20:41:02 UTC 2025","","Async methods without scope","",""
"","16","testMiddleArgParticipant()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMiddleArgParticipant"
"","23","should execute method with string parameter","Continuum RPC Tests","Tue Nov 11 20:41:05 UTC 2025","passed","Tue Nov 11 20:41:05 UTC 2025","","","",""
"","978","testRpcCompletableFutureString()","","Tue Nov 11 20:35:51 UTC 2025","passed","Tue Nov 11 20:35:52 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testRpcCompletableFutureString"
"","6","testLastArgParticipant()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testLastArgParticipant"
"","66","should connect with disableStickySession and hard disconnect and reconnect","Disable Sticky Session Tests","Tue Nov 11 20:41:03 UTC 2025","passed","Tue Nov 11 20:41:03 UTC 2025","","","",""
"","17","testPutMapOfSimpleObjects()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutMapOfSimpleObjects"
"","41","testMissingRemoteMethodFailure()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMissingRemoteMethodFailure"
"","30324","should connect to gateway and then fail after reconnection attempts after gateway is offline","Continuum Unavailable Tests","Tue Nov 11 20:41:18 UTC 2025","passed","Tue Nov 11 20:41:48 UTC 2025","","","",""
"","52","should invoke combine with multiple args synchronously","Publish Mechanism","Tue Nov 11 20:41:02 UTC 2025","passed","Tue Nov 11 20:41:02 UTC 2025","","Non-async methods without scope","",""
"","14","testAutowired()","","Tue Nov 11 20:36:38 UTC 2025","passed","Tue Nov 11 20:36:38 UTC 2025","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testAutowired"
"","60","testReverseCopyMedium()","","Tue Nov 11 20:36:58 UTC 2025","passed","Tue Nov 11 20:36:58 UTC 2025","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopyMedium"
"","47","should propagate interceptor error","Context Injection","Tue Nov 11 20:41:02 UTC 2025","passed","Tue Nov 11 20:41:02 UTC 2025","","Context injection tests","",""
"","14","should fail invalid service request","Continuum RPC Tests","Tue Nov 11 20:41:04 UTC 2025","passed","Tue Nov 11 20:41:04 UTC 2025","","","",""
"","10339","testSingleProducerMultiConsumer()","","Tue Nov 11 20:36:58 UTC 2025","passed","Tue Nov 11 20:37:09 UTC 2025","","org.kinotic.util.TestFluxFactory","org.kinotic.util.TestFluxFactory","testSingleProducerMultiConsumer"
"","57","testCreateFindRemove()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.TestSessionManager","org.kinotic.continuum.internal.core.api.TestSessionManager","testCreateFindRemove"
"","163","should connect and disconnect","Continuum Client Tests","Tue Nov 11 20:41:02 UTC 2025","passed","Tue Nov 11 20:41:02 UTC 2025","","","",""
"","14050","should fail fast on connection attempt","Continuum Unavailable Tests","Tue Nov 11 20:41:04 UTC 2025","passed","Tue Nov 11 20:41:18 UTC 2025","","","",""
"","103","testVertxFuture()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testVertxFuture"
"","1","testEventStreamWriteWithoutKey()","","Tue Nov 11 20:35:57 UTC 2025","passed","Tue Nov 11 20:35:57 UTC 2025","","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithoutKey"
"","2","testRawCRI2()","","Tue Nov 11 20:35:44 UTC 2025","passed","Tue Nov 11 20:35:44 UTC 2025","","org.kinotic.continuum.internal.core.api.CRITests","org.kinotic.continuum.internal.core.api.CRITests","testRawCRI2"
"","33","send RPC call with disableStickySession","Disable Sticky Session Tests","Tue Nov 11 20:41:03 UTC 2025","passed","Tue Nov 11 20:41:03 UTC 2025","","","",""
